,name,address,location,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max
170,パークホームズ品川大井,品川区大井７,ＪＲ京浜東北線/大森 徒歩11分,即入居可,5200万円,9488万円,2LDK,4LDK,59,88.31
171,ガーラ・レジデンス南馬込,大田区南馬込１,都営浅草線/馬込 徒歩7分,2018年2月,5200万円,5200万円,2LDK,2LDK,55.18,55.18
172,パークホームズ落合南長崎,豊島区南長崎２,都営大江戸線/落合南長崎 徒歩9分,2017年12月8日予定,5290万円,5690万円,3LDK,3LDK,67.93,74.69
173,シティテラス大森西,大田区大森西４,ＪＲ京浜東北線/蒲田 徒歩15分,即入居可,5298万円,5998万円,3LDK,3LDK,64.61,67.83
174,サンクレイドル学芸大学　,世田谷区野沢３,東急東横線/学芸大学 徒歩13分,即入居可,5298万円,8298万円,1LDK+S,3LDK,53.71,70.21
175,ザ・パークハウス 亀戸,江東区亀戸７,ＪＲ総武線/亀戸 徒歩9分,2018年1月,5398万円,5548万円,3LDK,3LDK,72.06,72.06
176,サンクレイドル御苑内藤町,新宿区内藤町,東京メトロ丸ノ内線/新宿御苑前 徒歩6分,2018年4月,5480万円,7940万円,1LDK,1LDK,44.08,44.08
177,ヴィークステージ練馬豊玉,練馬区豊玉中４,西武池袋線/練馬 徒歩11分,即入居可,5490万円,5490万円,3LDK,3LDK,71.28,71.28
178,レ・ジェイド 駒込,北区西ケ原１,ＪＲ山手線/駒込 徒歩6分,即入居可,5598万円,5598万円,2LDK,2LDK,60.11,60.11
179,オープンレジデンシア表参道神宮前ザ・ハウス,渋谷区神宮前３,東京メトロ銀座線/表参道 徒歩5分,2018年9月,5630万円,1億7880万円,1R,3LDK※1R=Studio,30.25,80.17
180,ブランズ国立,国立市東２,ＪＲ中央線/国立 徒歩7分,2017年11月下旬,5698万円,1億888万円,2LDK,4LDK,65.12,91.07
181,シティタワー品川パークフロント,品川区南大井２,京急本線/大森海岸 徒歩5分,2019年4月,5850万円,6620万円,3LDK,3LDK,65.05,70.37
182,ランドステージ文京千石,文京区千石２,都営三田線/千石 徒歩7分,即入居可,5880万円,5880万円,2LDK+S,2LDK+S,60.86,60.86
183,DEUX TOURS,中央区晴海３,都営大江戸線/勝どき 徒歩9分,即入居可,5980万円,1億2980万円,2LDK,3LDK,55.77,100.01
184,デュフレ渋谷本町,渋谷区本町６,京王新線/幡ヶ谷 徒歩10分,2018年3月末予定,5990万円,6480万円,2LDK+S,2LDK+S,67.75,67.75
185,プロスタイル学芸大学,目黒区碑文谷４,東急東横線/学芸大学 徒歩11分,2017年12月、即入居可,5998万円,5998万円,2LDK,2LDK,55.57,55.57
186,シティタワー調布南ステーションコート,調布市布田４,京王線/調布 徒歩4分,2018年4月,5998万円,6698万円,3LDK,3LDK,67.54,67.54
187,ザ・パークハウス 日本橋大伝馬町,中央区日本橋大伝馬町,東京メトロ日比谷線/小伝馬町 徒歩4分,2018年9月,6038万円,1億248万円,1LDK,3LDK,54.37,70.78
188,シティタワー目黒,品川区西五反田３,東急目黒線/不動前 徒歩4分,即入居可,6180万円,1億2980万円,1LDK,3LDK,40.38,72.15
189,シティハウス吉祥寺北町,武蔵野市吉祥寺北町４,ＪＲ中央線/吉祥寺 バス9分 停歩2分,2018年4月,6190万円,9590万円,2LDK+S ,2LDK+S ,67.68,80.09
190,シティテラス品川イースト,品川区東品川５,東京モノレール/天王洲アイル 徒歩3分,即入居可,6380万円,6880万円,3LDK,3LDK,67.02,67.02
191,リーフィアレジデンス 世田谷砧,世田谷区砧４,小田急線/祖師ヶ谷大蔵 徒歩11分,即入居可,6408万円,7608万円,3LDK,3LDK,70.98,78.9
192,サンウッド代々木西参道,渋谷区代々木３,都営大江戸線/新宿 徒歩9分,即入居可,6478万円,8638万円,1LDK,3LDK,53.98,68.28
193,シティハウス用賀砧公園,世田谷区瀬田５,東急田園都市線/用賀 徒歩14分,即入居可,6490万円,6490万円,3LDK,3LDK,75.32,75.32
194,シティテラス杉並方南町,杉並区方南２,東京メトロ丸ノ内線/方南町 徒歩1分,2018年4月,6498万円,8698万円,1LDK+2S,3LDK,65.46,70.45
195,シティハウス笹塚レジデンス,中野区南台２,京王線/笹塚 徒歩12分,即入居可,6498万円,8298万円,3LDK,3LDK,67.18,75.16
196,イニシア池上,大田区池上４,東急池上線/池上 徒歩7分,2018年4月,6500万円台,8700万円台,2LDK,3LDK,81,83
197,シティテラス荻窪,杉並区荻窪３,ＪＲ中央線/荻窪 徒歩13分,即入居可,6598万円,7098万円,3LDK,3LDK,67.8,70.06
198,ザ・パークハウス 練馬美術の森,練馬区貫井１,西武池袋線/中村橋 徒歩2分,即入居可,6788万円,6788万円,3LDK,3LDK,72.29,72.29
199,シティハウス四谷坂町,新宿区四谷坂町,都営新宿線/曙橋 徒歩5分,2019年4月,6990万円,9490万円,1LDK+S ,1LDK+S ,55.07,76.05
200,グラン レ・ジェイド若松町レジデンス,新宿区若松町,都営大江戸線/若松河田 徒歩3分,即入居可,7468万円,1億2978万円,2LDK,2LDK,57.33,83.43
201,シティハウス広尾南,渋谷区恵比寿３,東京メトロ日比谷線/広尾 徒歩10分,即入居可,7480万円,1億880万円,1LDK+S,3LDK,54.79,78.24
202,シティハウス月島駅前レジデンスコート,中央区月島２,東京メトロ有楽町線/月島 徒歩1分,即入居可,7480万円,7480万円,3LDK,3LDK,66.12,66.12
203,シティハウス中目黒レジデンス,目黒区中目黒４,東急東横線/中目黒 徒歩12分,2017年12月,7980万円,8980万円,2LDK,3LDK,55.51,71.34
204,ザ・パークハウス 東日本橋,中央区東日本橋２,都営浅草線/東日本橋 徒歩4分,2018年2月,8190万円,9210万円,2LDK,2LDK,70.42,75.78
205,パークホームズ二子玉川 彩翠邸,世田谷区瀬田４,東急田園都市線/二子玉川 徒歩14分,即入居可,8290万円,8290万円,3LDK,3LDK,77.73,77.73
206,プレミスト日本橋浜町公園,中央区日本橋浜町２,都営新宿線/浜町 徒歩2分,2017年11月下旬,8670万円,1億2480万円,2LDK,2LDK,70.09,83.17
207,THE GRAND MILLENNIA TOWER&SUITE,豊島区南池袋１,ＪＲ山手線/池袋 徒歩6分,2017年12月,9980万円,9980万円,2LDK,2LDK,56.13,56.13
208,シティタワー・ルフォン九段の杜,千代田区九段北４,都営新宿線/市ヶ谷 徒歩5分,2019年3月,9990万円,1億7790万円,2LDK,2LDK,70.04,82.21
209,スカイフォレストレジデンス,新宿区大久保３,ＪＲ山手線/高田馬場 徒歩6分,即入居可,1億380万円,1億6980万円,2LDK,2LDK,68.15,73.45
210,Brillia 一之江,江戸川区一之江,都営新宿線/一之江 徒歩2分,2018年8月,3768万円,4988万円,1LDK,2LDK+S,41.35,72.24
211,Brillia新川一丁目,中央区新川１,東京メトロ東西線/茅場町 徒歩9分,2019年2月,5200万円台,6500万円台,2LDK,2LDK,55.21,57.01
212,ヴィークコート立川,立川市錦町１,ＪＲ中央線/立川 徒歩9分,2018年9月,5288万円,6998万円,3LDK,3LDK,70.26,70.26
213,プレミスト府中,府中市府中町２,京王線/府中 徒歩3分,2018年3月、2018年3月,5490万円,5490万円,3LDK,3LDK,70.1,70.1
214,ザ・サンメゾン西大井金子山エルド,品川区西大井４,ＪＲ京浜東北線/大森 徒歩14分,即入居可,5640万円,8880万円,1LDK+S,3LDK,61.08,85.72
215,ブランズ南荻窪,杉並区南荻窪３,ＪＲ中央線/荻窪 徒歩11分,2018年3月,5750万円,1億2950万円,1LDK+2S,4LDK,59.66,99.15
216,リムテラスアルファ学芸大学,世田谷区下馬６,東急東横線/学芸大学 徒歩11分,即入居可,6590万円,6590万円,2LDK+S,2LDK+S,86.05,86.05
217,THE CONOE＜一番町＞,千代田区一番町,東京メトロ半蔵門線/半蔵門 徒歩2分,即入居可,9800万円,1億3400万円,1LDK+S,1LDK+S,56.54,78.32
218,パークコート浜離宮ザ　タワー,港区浜松町１,ＪＲ山手線/浜松町 徒歩5分,2019年9月,1億2530万円,3億4000万円,2LDK,2LDK,68.12,119.16
219,シティハウス四谷津の守坂,新宿区三栄町,東京メトロ丸ノ内線/四谷三丁目 徒歩5分,2018年4月,価格未定,価格未定,1LDK,2LDK,40.06,54.19
220,クラッシィハウス神田錦町,千代田区神田錦町２,東京メトロ千代田線/大手町 徒歩6分,2018年5月,価格未定,価格未定,1LDK,1LDK,39.65,58.31
221,ガーデンヒルズ四ツ谷 迎賓の森,新宿区南元町,ＪＲ総武線/四ツ谷 徒歩10分,2017年11月下旬,価格未定,価格未定,2LDK,3LDK,56.55,127.46
222,グローリオ レジデンス町田中町,町田市中町３,小田急線/町田 徒歩11分,2018年7月,価格未定,価格未定,2LDK+S,4LDK,70.18,85.25
223,レーベン多摩センターBeaut,八王子市松が谷,京王相模原線/京王多摩センター 徒歩15分,2018年3月末予定,2400万円台,5300万円台,2LDK,4LDK,60.73,112.44
224,フェルクルールプレスト豊田,日野市豊田２,ＪＲ中央線/豊田 徒歩6分,2018年1月、2017年12月,2900万円台,3600万円台,2LDK,2LDK,55.44,56.65
225,ライオンズ早稲田ミレス,新宿区西早稲田１,東京メトロ東西線/早稲田 徒歩7分,2018年2月23日予定,2900万円台,7300万円台,1K,2LDK,25,55.01
226,ブランシエラ東京三ノ輪,荒川区南千住１,東京メトロ日比谷線/三ノ輪 徒歩4分,2018年3月,2928万円,5498万円,1DK,3LDK,30.42,68.07
227,Raffine Vierte,江戸川区東小岩６,ＪＲ総武線/小岩 徒歩5分,即入居可,2990万円,5850万円,1LDK,2LDK+S,45.72,77.43
228,サンクレイドル西東京,西東京市芝久保町２,西武新宿線/田無 徒歩13分,2018年8月,2998万円,5398万円,2LDK,4LDK,59.09,77.74
229,ザ・グローベル南大塚,豊島区南大塚３,ＪＲ山手線/大塚 徒歩4分,2018年3月,2998万円,6878万円,1K,3LDK,26.53,60.28
230,ベルジュール昭和記念公園,昭島市東町２,ＪＲ青梅線/西立川 徒歩4分,2018年4月,3190万円,4020万円,2LDK,2LDK,54.18,61.62
231,ヴェレーナ綾瀬,足立区綾瀬７,東京メトロ千代田線/北綾瀬 徒歩7分,2018年3月,3200万円台,3200万円台,3LDK,3LDK,69.03,69.03
232,シティタワーズ東京ベイ,江東区有明２,りんかい線/国際展示場 徒歩4分,2020年4月,3490万円,8690万円,1LDK,3LDK,43.1,80.74
233,エクセレントシティ目白,新宿区下落合２,ＪＲ山手線/目白 徒歩7分,2017年12月,3498万円,5168万円,1LDK,1LDK+S,30.25,40.89
234,デュオヴェール目黒学芸大学,目黒区目黒本町１,東急東横線/学芸大学 徒歩12分,2018年2月,3598万円,4298万円,1LDK,1LDK,31.04,34.06
235,オープンレジデンシア新中野,中野区本町６,東京メトロ丸ノ内線/新中野 徒歩6分,2018年9月末予定,3600万円台,5900万円台,1LDK,3LDK,32.58,63.89
236,シティインデックス神田,千代田区岩本町２,ＪＲ山手線/神田 徒歩6分,即入居可,3690万円,7110万円,1LDK,2LDK,32.09,56.17
237,シティテラス小金井公園,小平市花小金井南町１,ＪＲ中央線/武蔵小金井 バス6分 停歩4分,2018年6月,3698万円,5598万円,3LDK,4LDK,70.79,87.74
238,レーベン浅草AYAGINU,台東区西浅草３,つくばエクスプレス/浅草 徒歩3分,2019年2月末予定,3700万円台,6200万円台,1LDK,2LDK,37.85,61.09
239,ミオカステーロ府中町,府中市府中町３,京王線/府中 徒歩8分,即入居可,3780万円,3780万円,2LDK+S,2LDK+S,64.83,64.83
240,セイガステージ大泉学園,練馬区東大泉２,西武池袋線/大泉学園 徒歩12分,即入居可,3798万円,3798万円,3LDK,3LDK,60.38,60.38
241,サンクレイドル北赤羽,北区浮間３,ＪＲ埼京線/北赤羽 徒歩5分,2018年9月,3798万円,5598万円,2LDK+S,2LDK+S,63.72,70.87
242,プレシス田端,荒川区西尾久４,ＪＲ山手線/田端 徒歩13分,2018年12月,3890万円,5670万円,2LDK,3LDK,56.7,72.64
243,ガーラ・レジデンス亀戸セントラルパーク,江東区亀戸７,ＪＲ総武線/亀戸 徒歩14分,2019年2月,3900万円台,6100万円台,3LDK,3LDK,55.25,75.71
244,グラン レ・ジェイド御茶ノ水,文京区湯島２,ＪＲ中央線/御茶ノ水 徒歩7分,2018年9月,3900万円台,1億4900万円台,1LDK,3LDK,35.81,107.03
245,ミオカステーロ成増II,板橋区成増４,東武東上線/成増 徒歩11分,2018年1月,3998万円,5198万円,2LDK+S,2LDK+S,63.6,74.26
246,ガーデングラス御茶ノ水,文京区湯島２,ＪＲ中央線/御茶ノ水 徒歩7分,即入居可,4288万円,5238万円,1LDK,1LDK,35.09,45.21
247,プレシス文京江戸川橋,文京区水道２,東京メトロ有楽町線/江戸川橋 徒歩2分,2018年2月,4388万円,6358万円,1LDK,1LDK,40.4,53.04
248,ブラントン神楽坂,新宿区東五軒町,東京メトロ東西線/神楽坂 徒歩5分,2018年3月,4398万円,8998万円,1LDK,3LDK,34.05,70.05
249,シティタワー八王子フレシア,八王子市旭町,ＪＲ中央線/八王子 徒歩2分,2018年12月,4498万円,8598万円,2LDK,3LDK,54.23,80
250,リストレジデンス上野黒門町,台東区上野１,東京メトロ千代田線/湯島 徒歩2分,即入居可,4798万円,7428万円,1LDK,1LDK,38.95,38.95
251,ウィルローズ田端,北区田端新町２,ＪＲ山手線/田端 徒歩8分,即入居可,4970万円,5570万円,1LDK+S,3LDK,60.61,60.61
252,勝どきビュータワー,中央区勝どき１,都営大江戸線/勝どき 徒歩1分,即入居可,5498万円,1億3900万円,1LDK,3LDK,48.98,79.06
253,リムテラス文京白山,文京区白山５,都営三田線/白山 徒歩1分,2018年3月,5580万円,7380万円,1LDK+S,3LDK,66.26,83.21
254,センチュリー荻窪,杉並区荻窪２,ＪＲ中央線/荻窪 徒歩10分,2017年11月下旬,5640万円,6650万円,2LDK,3LDK,54.95,65.4
255,シティタワー国分寺 ザ・ツイン　ウエスト／イースト,国分寺市本町３,ＪＲ中央線/国分寺 徒歩1分,2018年6月末予定,6498万円,8198万円,2LDK,3LDK,55.99,71.12
256,プラウドシティ阿佐ヶ谷,杉並区成田東４,東京メトロ丸ノ内線/南阿佐ヶ谷 徒歩7分,即入居可,7688万円,1億588万円,3LDK,3LDK,73.53,110.4
257,サンウッド赤坂丹後町,港区赤坂４,東京メトロ銀座線/赤坂見附 徒歩6分,即入居可,8618万円,9708万円,2LDK,2LDK,56.84,56.84
258,ライオンズ東京三ノ輪ミレス,台東区日本堤２,東京メトロ日比谷線/三ノ輪 徒歩6分,2019年2月27日予定,2400万円台,4900万円台,1K,2LDK,25.02,50.1
259,デュオヴェール浅草WEST,台東区松が谷１,東京メトロ銀座線/田原町 徒歩5分,2018年1月,3298万円,3898万円,1LDK,1LDK,33.01,40.04
260,パークホームズ千代田淡路町　,千代田区神田須田町１,東京メトロ丸ノ内線/淡路町 徒歩3分,2019年2月,3400万円台,1億4900万円台,1K,3LDK,25.24,88.43
261,オーベル稲城南山,稲城市百村,京王相模原線/稲城 徒歩8分,2018年3月,3400万円台,4800万円台,3LDK,3LDK,67.9,84.69
262,グレイシャス糀谷,大田区萩中２,京急空港線/糀谷 徒歩4分,2018年2月,3600万円台,7200万円台,2LDK,4LDK,48.5,95.83
263,プレミストひばりが丘,西東京市ひばりが丘３,西武池袋線/ひばりヶ丘 徒歩18分,2018年3月,3689万円,4579万円,3LDK,3LDK,63.02,76.5
264,サンクレイドルひばりが丘,西東京市谷戸町２,西武池袋線/ひばりヶ丘 徒歩12分,2017年12月,3690万円,5390万円,3LDK,3LDK,68.59,80.09
265,センチュリーひばりが丘 コンフォートアリーナ,西東京市ひばりが丘北３,西武池袋線/ひばりヶ丘 徒歩4分,2019年3月,3990万円,5470万円,3LDK,3LDK,65.2,72.21
266,リビオ氷川台,練馬区羽沢３,東京メトロ有楽町線/氷川台 徒歩9分,2018年10月,4200万円台,7000万円台,2LDK,3LDK,54.16,80.22
267,リムテラスコート経堂,世田谷区船橋５,小田急線/経堂 徒歩13分,即入居可,4780万円,4780万円,2LDK+S,2LDK+S,85.8,85.8
268,ティサージュ荻窪,杉並区上荻２,ＪＲ中央線/荻窪 徒歩12分,2018年3月予定,4900万円台,7900万円台,2LDK,3LDK,56.12,68.97
269,パークホームズ北千住 アドーア,足立区千住３,東京メトロ日比谷線/北千住 徒歩5分,2019年3月末予定,4900万円台,6300万円台,1LDK,2LDK,47.15,65.51
270,ディアナコート文京本郷台,文京区湯島３,東京メトロ千代田線/湯島 徒歩2分,即入居可,5380万円,1億1600万円,1LDK,3LDK,43.11,81.36
271,ブランズ二子玉川テラス,世田谷区玉川２,東急田園都市線/二子玉川 徒歩6分,2019年3月,5590万円,2億2680万円,2LDK,4LDK,54.55,127.2
272,Brillia 品川戸越 Parks,品川区戸越４,東急大井町線/戸越公園 徒歩4分,2018年12月,5890万円,7990万円,2LDK,2LDK,57.01,72.62
273,リムテラス駒込,豊島区駒込３,ＪＲ山手線/駒込 徒歩3分,2018年3月末予定,5980万円,6880万円,2LDK+S,2LDK+S,80.12,84.05
274,プラウド府中セントラル,府中市府中町２,京王線/府中 徒歩3分,2018年3月,6198万円,6998万円,3LDK,3LDK,73.88,80.88
275,アトラス西麻布,港区西麻布４,東京メトロ日比谷線/広尾 徒歩7分,即入居可,6490万円,1億4990万円,1LDK,3LDK,42.66,82.26
276,プラウドシティ武蔵野三鷹,武蔵野市中町３,ＪＲ中央線/三鷹 徒歩10分,2018年3月,6558万円,8298万円,3LDK,3LDK,73.27,78.07
277,GREEN PARK東日本橋一丁目,中央区東日本橋１,ＪＲ山手線/東京 徒歩28分,2018年6月予定,6620万円,8020万円,3LDK,3LDK,68.23,75.08
278,パークホームズ山王二丁目 ザ レジデンス,大田区山王２,ＪＲ京浜東北線/大森 徒歩3分,2018年4月,6700万円台,1億8000万円台,2LDK,4LDK,59.02,110.39
279,ザ・パークハウス 麻布外苑西通り,港区西麻布２,東京メトロ銀座線/表参道 徒歩11分,2018年4月,7490万円,2億3000万円,1LDK,3LDK,50.03,119.57
280,パークコート代々木初台　,渋谷区初台２,京王新線/初台 徒歩8分,2017年12月,7500万円,7500万円,2LDK,2LDK,64.14,64.14
281,グランデバンセ 御殿山 ザ・レジデンス,品川区北品川５,ＪＲ山手線/大崎 徒歩5分,2018年4月末予定,7950万円,2億1500万円,1LDK,4LDK,54.52,117.76
282,プラウド府中ステーションアリーナ,府中市宮町１,京王線/府中 徒歩1分,即入居可,8340万円,8340万円,3LDK+N+WIC,3LDK+N+WIC,78.41,78.41
283,プラウド上鷺宮,中野区上鷺宮１,西武新宿線/鷺ノ宮 徒歩6分,2018年2月,8740万円,8740万円,4LDK,4LDK,86.47,86.47
284,THE 千代田麹町 TOWER,千代田区麹町３,東京メトロ有楽町線/麹町 徒歩1分,2019年2月,9250万円,5億2700万円,2LDK,2LDK,53.37,155.1
285,アネシア築地 ステーションレジデンス,中央区築地３,東京メトロ日比谷線/築地 徒歩1分,2019年3月,9910万円,1億5540万円,2LDK,2LDK,66.41,83.5
286,ザ・パークハウス 本郷,文京区本郷１,東京メトロ丸ノ内線/本郷三丁目 徒歩7分,2019年1月,1億3480万円,1億3480万円,3LDK,3LDK,86.68,86.68
287,ブランズ永田町,千代田区永田町２,東京メトロ半蔵門線/永田町 徒歩3分,2019年3月,1億5000万円,6億1000万円,2LDK,3LDK,81.53,178.34
288,ブランズ渋谷常盤松,渋谷区東４,ＪＲ山手線/渋谷 徒歩14分,即入居可,1億7290万円,1億7290万円,2LDK,2LDK,91.76,91.76
289,パークコート一番町　,千代田区一番町,東京メトロ半蔵門線/半蔵門 徒歩3分,2019年1月,1億7400万円,1億7400万円,3LDK,3LDK,95.34,95.34
290,グランドヒルズ元麻布,港区元麻布３,東京メトロ南北線/麻布十番 徒歩4分,2018年4月,1億7500万円,1億7500万円,1LDK,1LDK,76.94,76.94
291,プラウド六本木,港区六本木４,都営大江戸線/六本木 徒歩4分,2017年12月,3億3600万円,3億3600万円,3LDK,3LDK,158.24,158.24
292,ロイヤルシーズン二子玉川,世田谷区野毛３,東急田園都市線/二子玉川 徒歩15分,2018年10月,価格未定,価格未定,1LDK,3LDK,55.24,73.48
293,インプレスト駒込染井,豊島区駒込６,ＪＲ山手線/巣鴨 徒歩8分,2018年3月,価格未定,価格未定,1LDK,3LDK,45.58,80.27
294,パークコート青山　ザ　タワー,港区南青山２,東京メトロ銀座線/青山一丁目 徒歩3分,2018年4月,価格未定,価格未定,1LDK,3LDK,70.07,182.21
295,ライオンズ竹ノ塚ブロッサムシティ,足立区西保木間２,東武伊勢崎線/竹ノ塚 徒歩17分,即入居可,2670万円,4580万円,3LDK,3LDK,65.22,80.64
296,エクセレントシティ府中駅前,府中市寿町１,京王線/府中 徒歩2分,2017年12月,2798万円,3778万円,1DK,1DK,33.09,36.87
297,プレシス池上アベニュー,大田区池上４,東急池上線/池上 徒歩8分,2018年8月,2990万円,5740万円,1LDK,3LDK,37.09,68.51
298,プレシス葛西ルヴェール,江戸川区東葛西７,東京メトロ東西線/葛西 徒歩7分,即入居可,2990万円,5290万円,1LDK+S,3LDK,44.63,68.44
299,クリオ ラベルヴィ赤羽東,北区志茂３,東京メトロ南北線/志茂 徒歩1分,2019年3月,3292万5000円,4584万1000円,1LDK,1LDK,32.52,54.26
300,プレシス多摩永山レヴィエ,多摩市諏訪４,京王相模原線/京王永山 徒歩12分,即入居可,3490万円,4230万円,3LDK,4LDK,72.76,80.34
301,エクセレントシティ田端,荒川区東尾久５,ＪＲ山手線/田端 徒歩16分,2018年7月,3500万円台,4700万円台,2LDK,3LDK,55.2,67.3
302,ウエリス国立,国立市西２,ＪＲ南武線/矢川 徒歩10分,即入居可,3800万円,5990万円,3LDK,3LDK,81.12,95.54
303,プレシス府中,府中市八幡町１,京王線/府中 徒歩7分,即入居可,3980万円,5140万円,2LDK,2LDK,61.11,61.11
304,リビオ荻窪レジデンス,杉並区南荻窪１,ＪＲ中央線/荻窪 徒歩15分,2018年7月,4500万円台,5900万円台,2LDK+S,2LDK+S,62.32,77.2
305,プレシス調布ヶ丘,調布市調布ケ丘３,京王線/調布 徒歩13分,即入居可,4730万円,5690万円,2LDK+S,2LDK+S,64.68,70.31
306,ウエリス町田中町,町田市中町１,小田急線/町田 徒歩8分,2018年2月,4748万円,5898万円,3LDK,3LDK,66.27,72.11
307,プレシス芦花公園,杉並区上高井戸１,京王線/芦花公園 徒歩8分,即入居可,5170万円,6050万円,3LDK,3LDK,63.58,83.2
308,プレシス武蔵境,武蔵野市境南町１,ＪＲ中央線/武蔵境 徒歩14分,即入居可,5480万円,8790万円,3LDK,3LDK,67.84,104.96
309,クレストフォルム大井町サウステラス,品川区南大井５,ＪＲ京浜東北線/大井町 徒歩14分,即入居可,5498万円,5498万円,1LDK+S,1LDK+S,58.51,58.51
310,クレストタワー品川シーサイド,品川区東大井１,りんかい線/品川シーサイド 徒歩3分,即入居可,5598万円,8998万円,2LDK,3LDK,60.27,85.19
311,アウルタワー,豊島区東池袋４,東京メトロ有楽町線/東池袋 徒歩2分,即入居可,5798万円,1億2900万円,2LDK,3LDK,47.4,80.18
312,クリオ日本橋久松町,中央区日本橋久松町,東京メトロ日比谷線/人形町 徒歩6分,2019年1月,6732万1000円,8878万9000円,2LDK+S,2LDK+S,60.48,60.48
313,アトラス代々木上原,渋谷区上原２,東京メトロ千代田線/代々木上原 徒歩10分,即入居可,1億890万円,1億890万円,3LDK,3LDK,80.11,80.11
314,グランドメゾン西原三丁目,渋谷区西原３,小田急線/代々木上原 徒歩4分,2018年7月,2億2600万円,2億2600万円,3LDK,3LDK,104.88,104.88
315,オーベル板橋本町,板橋区稲荷台,都営三田線/板橋本町 徒歩8分,2019年3月,4798万円,6198万円,2LDK+S,4LDK,70.36,84.92
316,リムテラス世田谷等々力,世田谷区等々力７,東急大井町線/尾山台 徒歩13分,即入居可,5300万円,5300万円,2LDK+S,2LDK+S,78.51,78.51
317,自由が丘マンションプロジェクト,目黒区緑が丘2-2330-2他,東急東横線/自由が丘 徒歩10分,2018年11月予定,6150万円,8110万円,2LDK,2LDK,62.02,67
318,アジール・デューク目黒,目黒区下目黒２,ＪＲ山手線/目黒 徒歩9分,2018年1月予定,6498万円,7548万円,2LDK+S,2LDK+S,70.68,76.96
319,ライオンズ千代田岩本町ミレス,千代田区岩本町２,都営新宿線/岩本町 徒歩4分,2018年3月16日予定,価格未定,価格未定,1K,1K,26.36,26.36
320,クレヴィスタ板橋本町,東京都板橋区大和町,都営三田線/板橋本町 徒歩3分,即入居可,2780万円,2780万円,1K,1K,25.6,25.6
321,オープンレジデンシア綾瀬●綾瀬駅より徒歩３分！新築未入居のピカピカの物件です！！,東京都足立区綾瀬３,東京メトロ千代田線/綾瀬 徒歩3分,即入居可,3180万円,3180万円,1LDK,1LDK,40.34,40.34
322,オープンレジデンシア綾瀬,東京都足立区綾瀬３,ＪＲ常磐線/綾瀬 徒歩3分,即入居可,3180万円,3180万円,1LDK,1LDK,40.34,40.34
323,オープンレジデンシア綾瀬,東京都足立区綾瀬３,東京メトロ千代田線/綾瀬 徒歩3分,即入居可,3180万円,3180万円,1LDK,1LDK,40.34,40.34
324,オープンレジデンシア綾瀬,東京都足立区綾瀬３-７－７,ＪＲ常磐線/綾瀬 徒歩3分,即入居可,3180万円,3180万円,1LDK,1LDK,40.34,40.34
325,オープンレジデンシア綾瀬,東京都足立区綾瀬３,東京メトロ千代田線/綾瀬 徒歩3分,即入居可,3180万円,3180万円,1LDK,1LDK,40.34,40.34
326,ラヴィドール府中中河原,東京都府中市住吉町２,京王線/中河原 徒歩2分,相談,3280万円,3280万円,3LDK,3LDK,78.68,78.68
327,グランド・ガーラ白金高輪,東京都港区高輪１-23-33,東京メトロ南北線/白金高輪 徒歩4分,相談,3600万円,3600万円,1K,1K,20.43,20.43
328,オープンレジデンシア銀座二丁目,東京都中央区銀座２,東京メトロ銀座線/銀座 徒歩7分,即入居可,3680万円,3680万円,1K,1K,25.11,25.11
329,アヴニールイシ南千住,東京都台東区日本堤１-40-4,ＪＲ常磐線/南千住 徒歩7分,相談,3880万円,3880万円,1LDK,1LDK,40.43,40.43
330,***　アブニールイシ南千住　***,東京都台東区日本堤１,東京メトロ日比谷線/南千住 徒歩7分,即入居可,3880万円,3880万円,1LDK,1LDK,40.43,40.43
331,《ヴォーガコルテ阿佐ヶ谷》内覧可能♪　築後未入居物件！,東京都杉並区阿佐谷南１,東京メトロ丸ノ内線/南阿佐ヶ谷 徒歩8分,即入居可,3980万円,3980万円,1LDK,1LDK,40.92,40.92
332,◇ 新築・未入居♪両国４分♪ペット可 ◇ エルパティオ両国,東京都墨田区両国１-13-2,ＪＲ総武線/両国 徒歩4分,即入居可,3980万円,3980万円,1LDK,1LDK,40.56,40.56
333,ザ・パークハウス西新宿タワー60,東京都新宿区西新宿５,都営大江戸線/西新宿五丁目 徒歩7分,2018年3月予定,4370万円,4370万円,1DK,1DK,35.66,35.66
334,メイクスデザイン入谷Ⅱ,東京都台東区入谷１,東京メトロ日比谷線/入谷 徒歩2分,即入居可,4390万円,4390万円,2LDK,2LDK,55.79,55.79
335,アジールコフレ中野坂上,東京都中野区本町２,東京メトロ丸ノ内線/中野坂上 徒歩2分,即入居可,4478万円,4478万円,1LDK,1LDK,34.63,34.63
336,リーフィアレジデンス狛江東和泉,東京都狛江市東和泉１,小田急線/狛江 徒歩4分,即入居可,4678万円,4678万円,2LDK,2LDK,57.57,57.57
337,サンクレイドルひばりが丘,東京都西東京市谷戸町２,西武池袋線/ひばりヶ丘 徒歩12分,2017年12月予定,4790万円,4790万円,3LDK,3LDK,72.42,72.42
338,メインステージ元浅草Ⅲ,東京都台東区元浅草４,東京メトロ銀座線/田原町 徒歩6分,即入居可,4880万円,4880万円,1LDK+S,1LDK+S,50.18,50.18
